Section,Question / Field,Your Answer,Guidance / Examples
Instructions,How to use this workbook,,Fill in the Your Answer column on each tab. Short answers are fine; use unknown/TBD if needed.
Instructions,Priority fields,,"Start with Company Profile, Products, Compliance, Austin Contract, and Target Buyers."
Instructions,Sensitive information,,"If you do not want to share a value, write private and we can still build the pursuit system."
Instructions,After completion,,"Send back the completed spreadsheet and I will convert it into your procurement profile, portal checklist, and bid-search plan."
Company Profile,Company legal name,,Legal entity used for government bids.
Company Profile,DBA / brand name,,If different from legal name.
Company Profile,Website,,Company website or product catalog URL.
Company Profile,Houston-area address or general location,,Full address or general area if preferred.
Company Profile,Main contact person for bids,,Name and title.
Company Profile,Bid contact email,,Email to use in bid materials.
Company Profile,Bid contact phone,,Phone to use in bid materials.
Company Profile,Manufacturing location,,"Houston, elsewhere in Texas, out of state, or multiple locations."
Company Profile,Service geography,,"Houston metro, Texas statewide, Texas + surrounding states, national."
Company Profile,Delivery method,,"Own fleet, third-party freight, both, or pickup only."
Company Profile,Delivery services offered,,"Dock delivery, inside delivery, room-by-room, installation, prison/jail delivery, removal/disposal."
Company Profile,Typical lead time for bulk orders,,"In stock, 1-2 weeks, 3-4 weeks, 6-8 weeks, depends on quantity."
Products,Standard residential mattresses,,
Products,Dormitory mattresses,,"Twin XL, bunk sizes, residence hall use."
Products,Correctional / jail / prison mattresses,,"Sealed, tamper-resistant, fluid-resistant, fire-retardant, anti-ligature if applicable."
Products,Fire-retardant mattresses,,List standards or test documents if known.
Products,Waterproof or fluid-resistant mattresses,,"Vinyl, sealed cover, antimicrobial, cleanable surfaces."
Products,Medical / healthcare mattresses,,"Hospital, clinic, long-term care, pressure management if applicable."
Products,Behavioral health / anti-ligature mattresses,,Only mark yes if specifically designed/documented.
Products,Bunk mattresses,,List standard thicknesses/sizes.
Products,Cot mattresses,,"Shelters, emergency response, camps."
Products,Custom-size mattresses,,Minimum quantities and custom lead times.
Products,Mattress protectors,,"Waterproof, bed bug, institutional, other."
