Section,Question / Field,Your Answer,Guidance / Examples
Instructions,How to use this workbook,,Fill in the Your Answer column on each tab. Short answers are fine; use unknown/TBD if needed.
Instructions,Priority fields,,"Start with Company Profile, Products, Compliance, Austin Contract, and Target Buyers."
Instructions,Sensitive information,,"If you do not want to share a value, write private and we can still build the pursuit system."
Instructions,After completion,,"Send back the completed spreadsheet and I will convert it into your procurement profile, portal checklist, and bid-search plan."
Company Profile,Company legal name,Continental Silverline,Legal entity used for government bids.
Company Profile,DBA / brand name,Restonic / Spring Air / Silverline Sleep,If different from legal name.
Company Profile,Website,private,Company website or product catalog URL.
Company Profile,Houston-area address or general location,"Houston, Texas",Full address or general area if preferred.
Company Profile,Main contact person for bids,private,Name and title.
Company Profile,Bid contact email,private,Email to use in bid materials.
Company Profile,Bid contact phone,private,Phone to use in bid materials.
Company Profile,Manufacturing location,"Houston, Texas","Houston, elsewhere in Texas, out of state, or multiple locations."
Company Profile,Service geography,"Texas, Oklahoma, Louisiana, Mississippi, Arkansas, New Mexico","Houston metro, Texas statewide, Texas + surrounding states, national."
Company Profile,Delivery method,Own fleet,"Own fleet, third-party freight, both, or pickup only."
Company Profile,Delivery services offered,Dock delivery,"Dock delivery, inside delivery, room-by-room, installation, prison/jail delivery, removal/disposal."
Company Profile,Typical lead time for bulk orders,Usually under 3-4 weeks; 3-4 weeks maximum,"In stock, 1-2 weeks, 3-4 weeks, 6-8 weeks, depends on quantity."
Products,Standard residential mattresses,Yes,
Products,Dormitory mattresses,Yes,"Twin XL, bunk sizes, residence hall use."
Products,Correctional / jail / prison mattresses,Yes,"Sealed, tamper-resistant, fluid-resistant, fire-retardant, anti-ligature if applicable."
Products,Fire-retardant mattresses,Yes,List standards or test documents if known.
Products,Waterproof or fluid-resistant mattresses,Yes,"Vinyl, sealed cover, antimicrobial, cleanable surfaces."
Products,Medical / healthcare mattresses,Yes,"Hospital, clinic, long-term care, pressure management if applicable."
